context,question,answer_text,answer_start,all_answers
a bed on a ship or train; usually in tiers,hypernym,bed,2,['bed']
a hymn or verse in Christian liturgy glorifying God,hypernym,hymn,2,"['hymn', 'Christian liturgy', 'liturgy']"
the business given to a commercial establishment by its customers,hypernym,business,4,['business']
pressing importance requiring speedy action,hypernym,importance,9,['importance']
a superficial abrasion,hypernym,abrasion,14,['abrasion']
a member of the viol family with approximately the range of a viola,hypernym,viol,16,['viol']
the Slavic language of Slovenes,hypernym,Slavic,4,"['Slavic', 'Slavic language', 'language']"
a city of northwestern Germany linked by the Weser River to the port of Bremerhaven and the North Sea; in the Middle Ages it was a leading member of the Hanseatic League,hypernym,Germany,23,"['Germany', 'city']"
a musical composition written for seven performers,hypernym,musical composition,2,"['musical composition', 'composition']"
comprising only the basking sharks; in some classifications considered the type genus of a separate family Cetorhinidae,hypernym,genus,80,['genus']
an association of nations dedicated to economic and political cooperation in southeastern Asia and who joined with the United States to fight against global terrorism,hypernym,association,3,['association']
annual or biennial or perennial herbs having showy flowers,hypernym,flowers,51,['flowers']
shrew mole of eastern Asia,hypernym,shrew mole,0,"['shrew mole', 'mole']"
common harrier of North America and Europe; nests in marshes and open land,hypernym,harrier,7,['harrier']
an apparatus for sending telegraphic messages by using a mirror to turn the sun's rays off and on,hypernym,apparatus,3,['apparatus']
a native or inhabitant of Peru,hypernym,inhabitant,12,['inhabitant']
any of several plants of the genera Gloxinia or Sinningia (greenhouse gloxinias) having showy bell-shaped flowers,hypernym,plants,15,['plants']
someone who carries explosives (as from the magazine to the guns on board a warship),hypernym,someone,0,['someone']
inexpensive wine sold in large bottles or jugs,hypernym,wine,12,['wine']
the evidence by which something is attested,hypernym,evidence,4,['evidence']
an accusation that you are responsible for some lapse or misdeed,hypernym,accusation,3,['accusation']
spatial largeness and extensiveness (especially inside a building),hypernym,largeness,8,['largeness']
a scholar in one of the universities of the Middle Ages; versed in scholasticism,hypernym,scholar,2,['scholar']
short-stemmed South African plant with bluish flowers,hypernym,plant,28,['plant']
gin made in the Netherlands,hypernym,gin,0,['gin']
a group of street musicians in Mexico,hypernym,group,2,['group']
a .45-caliber pistol,hypernym,pistol,14,['pistol']
yellow-flowered European shrub cultivated for its succession of yellow flowers and very inflated bladdery pods and as a source of wildlife food,hypernym,shrub,25,['shrub']
a gay festivity,hypernym,festivity,6,['festivity']
a student of musicology,hypernym,student,2,['student']
glass formed into large thin sheets,hypernym,sheets,29,['sheets']
an observation tower for a lookout to watch over prisoners or watch for fires or enemies,hypernym,tower,15,['tower']
a specialist in gerontology,hypernym,specialist,2,['specialist']
a substantial and nourishing meal,hypernym,meal,29,['meal']
(botany) a covering that resembles scales or bran that covers some plant parts,hypernym,parts,73,['parts']
perennial Eurasian herb having heads of red or yellow flowers and common in meadows and pastures; formerly used medicinally for kidney disorders,hypernym,herb,19,['herb']
American kinglet with a notable song and in the male a red crown patch,hypernym,kinglet,9,['kinglet']
wheat bought or sold at an agreed price for delivery at a specified future date,hypernym,future,68,['future']
a unit of potential equal to one quadrillionth of a volt (or one thousandth of a nanosecond),hypernym,volt,52,"['volt', 'unit']"
a sandwich in which the filling is rolled up in a soft tortilla,hypernym,sandwich,2,['sandwich']
one having power to influence another,hypernym,power,11,['power']
hydraulic brake in which friction is applied to the inside of a spinning drum by the brake shoe,hypernym,hydraulic brake,0,"['hydraulic brake', 'brake']"
a furnace that burns gas,hypernym,furnace,2,['furnace']
a fixed portion that is allotted (especially in times of scarcity),hypernym,portion,8,['portion']
an artist's brush made of sable hairs,hypernym,brush,12,['brush']
a genus of grasses of the family Gramineae grown in America and Asia,hypernym,genus,2,['genus']
either of two large northern marine mammals having ivory tusks and tough hide over thick blubber,hypernym,mammals,36,['mammals']
restraint put into a person's mouth to prevent speaking or shouting,hypernym,restraint,0,['restraint']
the quality of being unpleasant (harsh or rough or grating) to the senses,hypernym,quality,4,['quality']
an informal party of people with hospitality for all comers,hypernym,party,12,['party']
any of several breeds of terrier developed to catch rats,hypernym,terrier,25,['terrier']
English historian who studied the rise and fall of civilizations looking for cyclical patterns (1889-1975),hypernym,historian,8,['historian']
a clock that displays the time of day digitally,hypernym,clock,2,['clock']
a natural disposition to fight,hypernym,disposition,10,['disposition']
small lynx of North America,hypernym,lynx,6,['lynx']
someone who rides the near horse of a pair in order to guide the horses pulling a carriage (especially a carriage without a coachman),hypernym,someone,0,['someone']
any of several sorghums cultivated as a source of syrup,hypernym,sorghums,15,['sorghums']
genus of tropical hairy shrubs or herbs of tropics and subtropics especially South America,hypernym,genus,0,['genus']
a person who drinks heartily,hypernym,person,2,['person']
bird of tropical Africa and Asia having a very large bill surmounted by a bony protuberance; related to kingfishers,hypernym,bird,0,['bird']
a lack of knowledge or recognition,hypernym,knowledge,10,['knowledge']
the largest city in southern Alberta; an oil and gas center and a technology center for Alberta and most of western Canada,hypernym,Alberta,29,"['Alberta', 'city', 'Canada']"
any orchid of the genus Cattleya characterized by a three-lobed lip enclosing the column; among the most popular and most extravagantly beautiful orchids known,hypernym,orchid,4,"['orchid', 'orchids']"
an artist colony in northern New Mexico,hypernym,New Mexico,29,['New Mexico']
a person who uses snuff,hypernym,person,2,['person']
largest of the Cape Verde Islands in the Atlantic Ocean,hypernym,Cape Verde Islands,15,"['Cape Verde Islands', 'Islands', 'Atlantic', 'Atlantic Ocean', 'Ocean']"
a fishery where they fish for pearl oysters,hypernym,fishery,2,['fishery']
a dancer who sounds out rhythms by using metal taps on the toes and heels of the shoes,hypernym,dancer,2,['dancer']
the property of moving with pain or difficulty,hypernym,property,4,['property']
such care as a careless or inattentive person would exercise,hypernym,care,5,['care']
an artist who designs and makes prints,hypernym,artist,3,['artist']
(formerly) a native or inhabitant of the Levant,hypernym,native,13,['native']
someone who is a detective,hypernym,detective,17,"['detective', 'someone']"
a public enclosure for stray or unlicensed dogs,hypernym,enclosure,9,['enclosure']
a knife used as a weapon,hypernym,knife,2,"['knife', 'weapon']"
a system of weights and measures based on the foot and pound and second and pint,hypernym,system of weights and measures,2,['system of weights and measures']
a United States federal official who regulates the national banks,hypernym,official,24,['official']
a blank gap or missing part,hypernym,gap,8,['gap']
a person who has a nasty or unethical character undeserving of respect,hypernym,person,2,['person']
a line made of twisted fibers or threads,hypernym,line,2,['line']
the rhythm of a beating heart,hypernym,rhythm,4,['rhythm']
a city in north central Nigeria; agricultural trading center,hypernym,Nigeria,24,"['Nigeria', 'city']"
a woman chauffeur,hypernym,chauffeur,8,['chauffeur']
Hindu solar holiday at the beginning of the new astrological year when the sun enters the constellation Aries,hypernym,holiday,12,['holiday']
a cutter (tool for cutting) for floor tiles,hypernym,cutter,2,"['cutter', 'tool']"
a compound leaf having five leaflets,hypernym,compound leaf,2,"['compound leaf', 'leaf']"
the leader of a troop of Scouts,hypernym,leader,4,['leader']
state of being mature; full development,hypernym,state,0,['state']
a common rock-inhabiting fern of northern temperate regions having rusty-brown stipes and lanceolate pinnate fronds,hypernym,fern,25,['fern']
a very thin form of gold foil,hypernym,gold foil,20,"['gold foil', 'foil']"
the higher of two berths,hypernym,berths,18,['berths']
the trait of being willing to undertake things that involve risk or danger,hypernym,trait,4,['trait']
the fleshy part of the human body that you sit on,hypernym,body,29,"['body', 'part']"
a channel separating Manhattan from the Bronx,hypernym,channel,2,['channel']
(Zen Buddhism) a state of sudden spiritual enlightenment,hypernym,enlightenment,43,['enlightenment']
a terrorist group formed in India in 1992; is believed to be responsible for bombings in southern India in 1998,hypernym,terrorist group,2,"['terrorist group', 'group']"
covering (usually rope or canvas) of a line or spar to protect it from friction,hypernym,covering,0,['covering']
a group that plays pop music,hypernym,group,2,['group']
navigational instrument for finding directions,hypernym,navigational instrument,0,"['navigational instrument', 'instrument']"
(psychiatry) a defense mechanism in which a person unconsciously develops attitudes and behavior that are the opposite of unacceptable repressed desires and impulses and serve to conceal them,hypernym,defense,15,"['defense', 'defense mechanism']"
a depression scratched or carved into a surface,hypernym,depression,2,['depression']
the branch of medicine concerned with the kidney - its development and anatomy and physiology and disorders,hypernym,medicine,14,['medicine']
"a coating that provides a hard, lustrous, transparent finish to a surface",hypernym,coating,2,['coating']
discrimination in favor of the able-bodied,hypernym,discrimination,0,['discrimination']
conversion of an investment trust into a unit investment trust,hypernym,conversion,0,['conversion']
edible seeds or roots or stems or leaves or bulbs or tubers or nonsweet fruits of any of numerous herbaceous plant,hypernym,herbaceous plant,98,"['herbaceous plant', 'plant']"
a fluorocarbon with chlorine; formerly used as a refrigerant and as a propellant in aerosol cans,hypernym,fluorocarbon,2,['fluorocarbon']
candy made of a thick creamy sugar paste,hypernym,candy,0,['candy']
a cooling breeze from the sea (during the daytime),hypernym,breeze,10,['breeze']
large dark striped eland of western equatorial Africa,hypernym,eland,19,['eland']
kit consisting of a set of bandages and medicines for giving first aid,hypernym,kit,0,['kit']
distillery where wine is made,hypernym,distillery,0,['distillery']
radio telescope that uses interference patterns from two antennas instead of a parabolic antenna,hypernym,radio telescope,0,"['radio telescope', 'telescope']"
an early term for an automobile,hypernym,automobile,21,['automobile']
litigation shown to have been instituted maliciously and without probable cause,hypernym,litigation,0,['litigation']
an athlete who plays for pay,hypernym,athlete,3,['athlete']
a large mirror between two windows,hypernym,mirror,8,['mirror']
illegality as a consequence of unlawful acts; defiance of the law,hypernym,illegality,0,['illegality']
conflict between social or economic classes (especially between the capitalist and proletariat classes),hypernym,conflict,0,['conflict']
the number that is represented as a one followed by 12 zeros; in the United Kingdom the usage followed in the United States is frequently seen,hypernym,number,4,['number']
a wildflower of the genus Ratibida,hypernym,wildflower,2,['wildflower']
the process of fostering the growth of something,hypernym,growth,29,"['growth', 'process']"
a therapist who practices naturopathy,hypernym,therapist,2,['therapist']
someone who makes small and unjustified criticisms,hypernym,someone,0,['someone']
a disagreement or argument about something important,hypernym,disagreement,2,['disagreement']
tender leaves of young white turnips,hypernym,white turnips,23,"['white turnips', 'turnips']"
(law) the findings of a jury on issues of fact submitted to it for decision; can be used in formulating a judgment,hypernym,findings,10,"['findings', 'judgment']"
an achondroplastic dwarf whose small size is the result of a genetic defect; body parts and mental and sexual development are normal,hypernym,dwarf,19,['dwarf']
clock that measures time by the escape of water,hypernym,clock,0,['clock']
a town in central Alabama on the Alabama river; in 1965 it was the center of a drive to register Black voters,hypernym,Alabama,18,"['Alabama', 'town']"
a comedy characterized by grim or satiric humor; a comedy having gloomy or disturbing elements,hypernym,comedy,2,['comedy']
a person having a strong liking for something,hypernym,person,2,['person']
an order to a broker to sell (buy) when the price of a security falls (rises) to a designated level,hypernym,order,3,['order']
outer layer or covering of an organ or part or organism,hypernym,covering,15,"['covering', 'part']"
plum-shaped whitish to almost black fruit used for preserves; tropical American,hypernym,fruit,36,['fruit']
a horizontal rod that serves as a support for gymnasts as they perform exercises,hypernym,support,34,['support']
a ladder used to scale walls (as in an attack),hypernym,ladder,2,['ladder']
tropical southeast Asian shrubby vine bearing spicy berrylike fruits,hypernym,vine,33,['vine']
annual or winter annual grass with softly hairy leaves of the Mediterranean,hypernym,grass,24,['grass']
rearmost or uppermost area in the balcony containing the least expensive seats,hypernym,area,22,"['area', 'balcony']"
light fluffy dish of egg yolks and stiffly beaten egg whites mixed with e.g. cheese or fish or fruit,hypernym,dish,13,['dish']
genus of large evergreen Australian cycads; sometimes classified in family Cycadaceae,hypernym,genus,0,['genus']
an open recess in a wall at the base of a chimney where a fire can be built,hypernym,recess,8,"['recess', 'chimney', 'base']"
a beginning from which an enterprise is launched,hypernym,beginning,2,['beginning']
apprehension about what is going to happen,hypernym,apprehension,0,['apprehension']
the location on a baseball field where the shortstop is stationed,hypernym,baseball field,18,"['baseball field', 'field', 'location']"
a map projection in which a small area is rendered in its true shape,hypernym,map projection,2,"['map projection', 'projection']"
service committing a body to the grave,hypernym,service,0,['service']
a byproduct of inflammation; a globulin that is found in the blood in some cases of acute inflammation,hypernym,globulin,31,['globulin']
the measurement of specific gravity,hypernym,measurement,4,['measurement']
the hearing organ of the inner ear; contains receptors that respond to sound waves,hypernym,receptors,45,"['receptors', 'ear', 'inner ear', 'organ']"
a colorless basic antibiotic that inhibits the growth of Gram-positive organisms,hypernym,antibiotic,18,['antibiotic']
a level tract of land,hypernym,land,17,['land']
a native or inhabitant of Maldives,hypernym,inhabitant,12,['inhabitant']
belligerence aroused by a real or supposed wrong (personified as one of the deadly sins),hypernym,deadly sins,76,"['deadly sins', 'sins']"
usually tropical slender-bodied long-legged moth whose larvae are crop pests,hypernym,moth,44,['moth']
a playing field where sports events take place,hypernym,playing field,2,"['playing field', 'field']"
an oil well that is spouting,hypernym,oil well,3,"['oil well', 'well']"
a conical calcareous fossil tapering to a point at one end and with a conical cavity at the other end containing (when unbroken) a small chambered phragmocone from the shell of any of numerous extinct cephalopods of the family Belemnitidae,hypernym,fossil,21,['fossil']
one of the bony prominences developed near the upper extremity of the femur to which muscles are attached,hypernym,femur,70,"['femur', 'extremity']"
the Siouan language spoken by the Tutelo,hypernym,Siouan,4,"['Siouan', 'Siouan language', 'language']"
a constituent (proton or neutron) of an atomic nucleus,hypernym,nucleus,47,"['nucleus', 'constituent']"
furniture intended for use on a lawn or in a garden,hypernym,furniture,0,['furniture']
the outside limit of an object or area or surface; a place farthest away from the center of something,hypernym,limit,12,"['limit', 'object']"
a training program to prepare you for employment,hypernym,training program,2,"['training program', 'program']"
any property relating to or occupying space,hypernym,property,4,['property']
bugbane of the eastern United States having erect racemes of white flowers,hypernym,bugbane,0,['bugbane']
an underwater swimmer equipped with a face mask and foot fins and either a snorkel or an air cylinder,hypernym,swimmer,14,['swimmer']
slang term for a woman,hypernym,woman,17,['woman']
an industrial center and the nominal capital of the Netherlands; center of the diamond-cutting industry; seat of an important stock exchange; known for its canals and art museum,hypernym,the Netherlands,48,"['the Netherlands', 'Netherlands', 'capital', 'seat', 'center']"
the branch of Islam that regards Ali as the legitimate successor to Mohammed and rejects the first three caliphs,hypernym,Islam,14,['Islam']
a United States dry measure equal to 4 pecks or 2152.42 cubic inches,hypernym,dry measure,16,['dry measure']
a slight but noticeable partiality,hypernym,partiality,24,['partiality']
a twelve-sided polygon,hypernym,polygon,15,['polygon']
flat-topped or rounded inflorescence characteristic of the family Umbelliferae in which the individual flower stalks arise from about the same point; youngest flowers are at the center,hypernym,inflorescence,23,"['inflorescence', 'flower', 'flowers']"
annual herb of the eastern Himalayas (Kashmir) having purple florets and a fragrant root that yields a volatile oil used in perfumery and for preserving furs,hypernym,herb,7,['herb']
"a female deer, especially an adult female red deer",hypernym,red deer,42,"['red deer', 'deer']"
extends from the base of the temporal bone,hypernym,temporal bone,29,"['temporal bone', 'bone']"
an instrument designed to aid vision,hypernym,instrument,3,['instrument']
a privileged class holding hereditary titles,hypernym,class,13,['class']
backbone and both loins of a lamb,hypernym,lamb,29,['lamb']
inflammation of one or both ovaries,hypernym,inflammation,0,['inflammation']
a cone-shaped implement with a handle; for extinguishing candles,hypernym,implement,14,['implement']
a polite name for any woman,hypernym,woman,22,['woman']
North American republic containing 50 states - 48 conterminous states in North America plus Alaska in northwest North America and the Hawaiian Islands in the Pacific Ocean; achieved independence in 1776,hypernym,North America,73,"['North America', 'America', 'states']"
a clamp used to hold work in place on a workbench,hypernym,clamp,2,['clamp']
capital and largest city of Hungary; located on the Danube River in north-central Hungary,hypernym,Hungary,28,"['Hungary', 'capital', 'city']"
the imaging of remembered or invented scenes,hypernym,imaging,4,['imaging']
removal of fluid from the abdomen by centesis,hypernym,centesis,37,['centesis']
a shackle for the ankles or feet,hypernym,shackle,2,['shackle']
Flemish painter of landscapes (1525-1569),hypernym,painter,8,['painter']
East Indian tree with valuable hard lustrous yellowish wood,hypernym,tree,12,['tree']
the sensation produced by low temperatures,hypernym,temperatures,30,['temperatures']
a black bituminous material used for paving roads or other areas; usually spread over crushed rock,hypernym,paving,37,['paving']
youngest son of Henry II; King of England from 1199 to 1216; succeeded to the throne on the death of his brother Richard I; lost his French possessions; in 1215 John was compelled by the barons to sign the Magna Carta (1167-1216),hypernym,King of England,26,"['King of England', 'King']"
(baseball) the act of hitting a baseball lightly without swinging the bat,hypernym,hitting,22,"['hitting', 'act']"
a road (especially that part of a road) over which vehicles travel,hypernym,road,2,['road']
a paddle steamer having the paddle wheel in the stern,hypernym,paddle steamer,2,"['paddle steamer', 'steamer']"
dark brown cockroach originally from orient now nearly cosmopolitan in distribution,hypernym,cockroach,11,['cockroach']
red fox in the color phase when its pelt is tipped with white,hypernym,red fox,0,"['red fox', 'fox']"
a small elevator used to convey food (or other goods) from one floor of a building to another,hypernym,elevator,8,"['elevator', 'building']"
the flash of light that accompanies an electric discharge in the atmosphere (or something resembling such a flash); can scintillate for a second or more,hypernym,flash,4,['flash']
(Roman mythology) god of woods and fields and flocks; Pan is the Greek counterpart,hypernym,god,18,['god']
newly formed outer wood lying between the cambium and the heartwood of a tree or woody plant; usually light colored; active in water conduction,hypernym,wood,19,['wood']
any movable possession (especially articles of clothing),hypernym,possession,12,['possession']
the accessories that normally accompany (something or some activity),hypernym,accessories,4,['accessories']
the act of making something different (as e.g. the size of a garment),hypernym,act,4,['act']
a surcharge added to the cost per person when traveling alone,hypernym,surcharge,2,"['surcharge', 'cost']"
United States businessman whose business grew into one of the first department stores (1838-1922),hypernym,businessman,14,['businessman']
an index that traces the relative changes in the price of an individual good (or a market basket of goods) over time,hypernym,index,3,['index']
a turn toward the side of the body that is on the north when the person is facing east,hypernym,turn,2,['turn']
an etched plate made with the use of acid,hypernym,plate,10,['plate']
a genus of dicotyledonous plants of the family Anacardiaceae,hypernym,genus,2,['genus']
a metal screen before an open fire for protection (especially against flying sparks),hypernym,screen,8,"['screen', 'protection']"
a bar or pair of parallel bars of rolled steel making the railway along which railroad cars or other vehicles can roll,hypernym,bar,2,"['bar', 'bars', 'railway', 'railroad']"
ancient city; now destroyed,hypernym,city,8,['city']
a narrow platform on which to stand or brace the feet,hypernym,platform,9,['platform']
a book of rules for presiding over a meeting; written by Henry M. Martin in 1876 and subsequently updated through many editions,hypernym,rules,10,"['rules', 'book']"
an occurrence of an unusual mixture,hypernym,mixture,28,"['mixture', 'occurrence']"
a system of two stars that revolve around each other under their mutual gravitation,hypernym,stars,16,['stars']
(geology) the erosion of soil as a consequence of sand and dust and loose rocks being removed by the wind,hypernym,erosion,14,['erosion']
a temporary military unit formed to accomplish a particular objective,hypernym,military unit,12,"['military unit', 'unit']"
a heart-shaped leaf,hypernym,leaf,15,['leaf']
records kept of activities involved in carrying out a project,hypernym,records,0,['records']
an advocate who represents someone else's policy or purpose,hypernym,advocate,3,"['advocate', 'someone']"
a lamp that sits on a table,hypernym,lamp,2,['lamp']
a garment made of camlet fabric,hypernym,garment,2,['garment']
a small square tile of stone or glass used in making mosaics,hypernym,tile,15,"['tile', 'mosaics']"
wetness in the atmosphere,hypernym,wetness,0,['wetness']
national capital of Solomon Islands,hypernym,Solomon Islands,20,"['Solomon Islands', 'national capital', 'capital']"
any of various desserts prepared by freezing,hypernym,desserts,15,['desserts']
metal that is cast in the shape of a block for convenient handling,hypernym,block,37,['block']
Azerbaijani chess master who became world champion in 1985 by defeating Anatoli Karpov (born in 1963),hypernym,chess master,12,['chess master']
the phenomenon of vitality and freshness being restored,hypernym,phenomenon,4,['phenomenon']
a square dance figure; couples march counterclockwise in a circle,hypernym,square dance,2,"['square dance', 'dance']"
the condition of the optical properties of the eye,hypernym,condition,4,['condition']
tissue that conducts water and nutrients through the plant body in higher plants,hypernym,plant,53,"['plant', 'plants', 'body']"
bulbous plants having a characteristic pungent onion odor,hypernym,bulbous plants,0,"['bulbous plants', 'plants']"
type genus of the family Cardiidae: cockles,hypernym,genus,5,['genus']
the wife of a mayor,hypernym,wife,4,['wife']
a large family of solitary short-tongued bees most of which burrow in the ground,hypernym,family,8,['family']
small usually brightly-colored viviparous surface-feeding fishes of fresh or brackish warm waters; often used in mosquito control,hypernym,fishes,58,['fishes']
a geological formation consisting of an underground enclosure with access from the surface of the ground or from the sea,hypernym,geological formation,2,"['geological formation', 'formation']"
either of two Welsh breeds of long-bodied short-legged dogs with erect ears and a fox-like head,hypernym,dogs,55,['dogs']
an inconvenient discomfort,hypernym,discomfort,16,['discomfort']
the ratio of the width to the height of a tv picture,hypernym,ratio,4,['ratio']
an interchange that does not require left-hand turns,hypernym,interchange,3,['interchange']
a doctor's degree in medicine,hypernym,degree,11,['degree']
gametophore bearing antheridia as in certain mosses and liverworts,hypernym,gametophore,0,['gametophore']
lining consisting of material with a high melting point; used to line the inside walls of a furnace,hypernym,lining,0,['lining']
Roman Emperor and adoptive son of Nerva; extended the Roman Empire to the east and conducted an extensive program of building (53-117),hypernym,Roman Emperor,0,"['Roman Emperor', 'Emperor']"
a recreation room for noisy activities (parties or children's play etc),hypernym,recreation room,2,"['recreation room', 'room']"
a branch of the Indo-European family of languages related to the Slavonic languages; Baltic languages have preserved many archaic features that are believed to have existed in Proto-Indo European,hypernym,Indo-European,16,"['Indo-European', 'languages']"
the lap consisting of a turned-back hem encircling the end of the sleeve or leg,hypernym,lap,4,"['lap', 'leg', 'sleeve']"
nest where birds lay their eggs and hatch their young,hypernym,nest,0,['nest']
a polypeptide antibiotic of known chemical structure effective against several types of Gram-positive organisms; usually applied locally,hypernym,antibiotic,14,"['antibiotic', 'structure']"
a state of steady vigorous action that is characteristic of an activity,hypernym,action,27,"['action', 'activity', 'state']"
planning or plotting in advance of acting,hypernym,planning,0,['planning']
woody vine of Argentina grown as an ornamental for its glossy leaves and racemes of large fragrant funnel-shaped creamy-white flowers,hypernym,vine,6,['vine']
a style of abstractionism popular in the 1960s; produces dramatic visual effects with colors and contrasts that are difficult for the eye to resolve,hypernym,abstractionism,11,['abstractionism']
a printed copy of the order of the day,hypernym,order of the day,22,['order of the day']
the handle of an ax,hypernym,handle,4,"['handle', 'ax']"
the person to whom you are engaged,hypernym,person,4,['person']
a constellation in the polar region of the southern hemisphere near Octans,hypernym,constellation,2,['constellation']
one of a pair of mobile appendages on the head of e.g. insects and crustaceans; typically sensitive to touch and taste,hypernym,appendages,24,['appendages']
large pine of southern United States having short needles in bunches of 2-3 and red-brown bark when mature,hypernym,pine,6,['pine']
wrongfully seizing and holding (an office or powers) by force (especially the seizure of a throne or supreme authority),hypernym,seizure,78,['seizure']
the limits of the area occupied by a city or town,hypernym,limits,4,"['limits', 'city', 'town']"
an unwieldy largeness,hypernym,largeness,12,['largeness']
a dyed fabric; a removable wax is used where the dye is not wanted,hypernym,fabric,7,['fabric']
a tall glass for serving highballs,hypernym,glass,7,['glass']
review by a court of law of actions of a government official or entity or of some other legally appointed person or body or the review by an appellate court of the decision of a trial court,hypernym,review,0,['review']
Emperor of Rome who was proclaimed emperor against his will; his reign was notable for his severe persecution of Christians (201-251),hypernym,Emperor of Rome,0,"['Emperor of Rome', 'Emperor', 'emperor']"
riding horses in competitions over set courses to demonstrate skill in jumping over obstacles,hypernym,riding,0,['riding']
a quantitative or qualitative test of a substance (especially an ore or a drug) to determine its components; frequently used to test for the presence or concentration of infectious agents or antibodies etc.,hypernym,test,30,['test']
a suit or dress for formal occasions,hypernym,dress,10,['dress']
someone with an irrational urge to steal in the absence of an economic motive,hypernym,someone,0,['someone']
a chord whose notes are played in rapid succession rather than simultaneously,hypernym,chord,2,"['chord', 'notes']"
the quality of being unclear or abstruse and hard to understand,hypernym,quality,4,['quality']
sports equipment used in playing basketball,hypernym,sports equipment,0,"['sports equipment', 'equipment']"
a local anesthetic that is administered by injection,hypernym,anesthetic,8,['anesthetic']
an intricate traditional dance in India performed by professional dancing girls,hypernym,dance,25,"['dance', 'dancing']"
a graduate school offering study leading to degrees in dentistry,hypernym,graduate school,2,"['graduate school', 'school']"
a feeling of great (usually exaggerated) elation,hypernym,elation,41,"['elation', 'feeling']"
(law) the right and power to interpret and apply the law,hypernym,power,20,['power']
genus of Asiatic wild oxen,hypernym,oxen,22,['oxen']
the monetary unit in the People's Republic of China,hypernym,monetary unit,4,"['monetary unit', 'unit']"
an insubordinate act,hypernym,act,17,['act']
the law enforcement and tax collection agency of the Treasury Department that enforces federal laws concerning alcohol and tobacco products and firearms and explosives and arson,hypernym,Treasury,53,"['Treasury', 'Treasury Department', 'agency', 'Department']"
the transportation of goods on a lighter,hypernym,transportation,4,['transportation']
a person who changes something,hypernym,person,2,['person']
